last_name,BB,HR,HP,FC,id,first_name,ROE,PA,TB,IBB,AB,D,H,K,team,S,T,SLG,OBP,OPS,SH,Year,AVG,SF
Gullickson,2,0,0,0,gullb001,Bill,0,62,8,0,60,1,7,11,MON,6,0,0.133,0.145,0.278,10,1980,0.117,0
Picciolo,2,5,0,0,piccr001,Rob,8,287,93,0,285,9,65,61,OAK,49,2,0.326,0.233,0.559,8,1980,0.228,0
Wallach,1,1,0,0,wallt001,Tim,0,12,5,0,11,0,2,5,MON,1,0,0.455,0.25,0.705,0,1980,0.182,0
Waller,1,0,0,0,wallt002,Ty,0,13,1,0,12,0,1,5,SLN,1,0,0.083,0.154,0.237,0,1980,0.083,0
Cooper,39,25,2,0,coopc001,Cecil,12,693,335,15,644,33,219,42,MIL,157,4,0.52,0.375,0.895,7,1980,0.34,8
Maddox,18,11,0,0,maddg001,Garry,11,598,212,5,571,31,142,51,PHI,97,3,0.371,0.268,0.639,7,1980,0.249,9
Scott,70,0,1,0,scotr101,Rod,13,671,166,0,594,13,127,74,MON,101,13,0.279,0.295,0.574,11,1980,0.214,6
Piniella,29,2,0,0,pinil001,Lou,6,360,116,5,328,18,92,20,NYA,72,0,0.354,0.336,0.69,2,1980,0.28,3
Figueroa,14,1,2,0,figuj101,Jesus,0,218,58,0,202,5,50,16,CHN,44,0,0.287,0.303,0.59,2,1980,0.248,0
Niekro,1,0,0,0,niekp001,Phil,0,101,17,0,100,5,12,19,ATL,7,0,0.17,0.129,0.299,5,1980,0.12,0
Nichols,3,0,0,0,nichr001,Reid,2,39,10,0,36,0,8,8,BOS,7,1,0.278,0.282,0.56,0,1980,0.222,0
Nicosia,19,1,1,0,nicos001,Steve,2,206,49,5,183,8,38,16,PIT,29,0,0.268,0.282,0.55,2,1980,0.208,3
McCovey,13,1,1,0,mccow101,Willie,1,134,34,2,115,8,23,22,SFN,14,0,0.296,0.28,0.576,0,1980,0.2,3
Maddox,52,4,6,0,madde101,Elliott,10,487,131,5,425,16,101,44,NYN,80,1,0.308,0.326,0.634,5,1980,0.238,4
Trammell,69,9,3,0,trama001,Alan,7,672,226,2,593,21,168,63,DET,133,5,0.381,0.357,0.738,13,1980,0.283,7
Sofield,24,9,2,0,sofir101,Rick,8,475,156,2,442,18,103,92,MIN,72,4,0.353,0.272,0.625,9,1980,0.233,7
Pocoroba,11,2,0,0,pocob001,Biff,1,98,32,0,86,4,22,11,ATL,16,0,0.372,0.337,0.709,1,1980,0.256,1
Griffin,0,1,0,0,grift101,Tom,2,22,5,0,22,0,2,7,SFN,1,0,0.227,0.091,0.318,2,1980,0.091,0
Jackson,28,5,3,0,jackr002,Ron,3,439,155,5,405,29,105,39,MIN,68,3,0.383,0.31,0.693,4,1980,0.259,3
