game_id,winner
201406050COL,home
201407270CIN,away
201409270CIN,away
201405150TOR,home
201407080SEA,away
201409250CHA,away
201404130ATL,away
201408270SEA,home
201408040NYN,away
201406170CLE,away
201408050SLN,home
201405250TBA,home
201406250TOR,away
201405100TEX,away
201409100MIL,home
201409120PHI,home
201407050SDN,away
201409090SFN,home
201405120OAK,home
201408300BAL,home
201404080KCA,away
201408050WAS,away
201406010CLE,home
201408300PIT,home
201405180PHI,home
201406060COL,away
201406160ARI,away
201405090ATL,home
201409070COL,home
201408040NYA,home
201408200MIL,away
201408200MIN,away
201407010SFN,home
201406050DET,away
201404160ANA,home
201406130BOS,away
201409060LAN,home
201407220OAK,away
201404070MIN,away
201407230TOR,home
201408300TBA,home
201405110TOR,away
201407250KCA,home
201405230CHA,home
201409260CLE,home
201409170HOU,away
201408090SEA,away
201404160ARI,away
201407120COL,away
201405050PHI,away
201404120SLN,away
201407300CHN,away
201405140NYN,away
201406030ATL,away
201405260SFN,away
201408070WAS,home
201406270PIT,home
201404090LAN,away
201408130CHN,home
201407210ANA,away
201408240CLE,home
201407310MIA,away
201407130KCA,home
201409050BOS,home
201409200KCA,away
201408130SDN,home
201407200NYA,home
201406140CHA,away
201405200ATL,home
201408210NYA,home
201404230DET,away
201405200CHN,home
201408240MIL,home
201408240MIN,home
201409130PHI,home
201407200MIA,home
201404280TEX,away
201408280CHA,away
201407120PHI,away
201407200MIN,away
201407310HOU,away
201404050OAK,away
201409070LAN,home
201405080TEX,home
201409020COL,home
201409170COL,away
201406020SLN,away
201409110CHA,home
201406290SEA,home
201404260WAS,home
201404240TOR,home
201408160BOS,away
201406270SFN,away
201409150KCA,home
201409160HOU,away
201405030MIN,home
201407050OAK,home
201408170TEX,home
201406300NYA,away
201409030COL,home
201406281CHN,away
201405030MIA,away
201404170SFN,away
201407030PIT,home
201408030DET,home
201408070ARI,away
201408240PHI,home
201407300KCA,home
201406060BAL,away
201407060COL,away
201407040ATL,home
201405270NYN,home
201404230MIL,home
201404060CHN,home
201404220MIL,away
201405240BAL,away
201404100WAS,home
201407070COL,away
201406010HOU,away
201407290LAN,home
201405260SEA,home
201405020CIN,away
201408310ARI,home
201404180WAS,home
201409230MIA,home
201409130SFN,away
201407120TBA,away
201404120CIN,away
201405070TEX,away
201408280HOU,home
201409230MIN,home
201407250SFN,away
201406130CHA,away
201405180CLE,home
201409020MIN,away
201406100NYN,home
201408020DET,away
201408310ANA,home
201408220CHN,home
201409020MIA,away
201408100PHI,home
201406210CHN,away
201409010CLE,away
201404130MIN,home
201407250TBA,home
201406120CIN,home
201406140SEA,away
201407050ATL,away
201405120ARI,away
201408090CHN,away
201406100TBA,away
201406070SFN,home
201409240CIN,away
201404230COL,away
201403220ARI,away
201404190DET,home
201405060TBA,away
201408290NYN,home
201408280SFN,home
201405090PIT,home
201408230CIN,home
201405011BOS,away
201409160ANA,home
201404180DET,home
201405190CLE,home
201409020BAL,home
201409120MIL,home
201407260MIL,home
201407260MIN,away
201409150CHN,home
201403310MIL,home
